,Disease,Preprocessed_Symptoms
26,Hypoestrogenism,presentation low estrogen level include hot flash sudden intense feeling heat predominantly upper body causing skin redden blushing believed occur due narrowing thermonuclear zone hypothalamus making body sensitive body temperature change night disturbance also common symptom associated hypoestrogenism people may experience difficulty falling asleep waking several time night early awakening different variability race ethnic group
27,Anal fistula,anal fistula present following symptom
28,Candidiasis,white patch vaginal discharge itching
29,Pattern hair loss,pattern hair loss classified form nonscarring hair loss
30,Anemia,feeling tired pale skin weakness shortness breath feeling faint
31,Chronic kidney disease,early none later leg swelling feeling tired vomiting loss appetite confusion
32,Aplastic anemia,pale skin fatigue fast heart rate rash dizziness headache frequent prolonged infection nosebleed bleeding gum prolonged bleeding cut unexplained easy bruising hematoma
33,Sickle cell disease,attack pain anemia swelling hand foot bacterial infection stroke
35,Angina,angina pectoris quite painful many patient angina complain chest discomfort rather actual pain discomfort usually described pressure heaviness tightness squeezing burning choking sensation apart chest discomfort anginal pain may also experienced epigastrium upper central abdomen back neck area jaw shoulder explained concept referred pain spinal level receives visceral sensation heart simultaneously receives cutaneous sensation part skin specified spinal nerve dermatome without ability discriminate two typical location referred pain arm often inner left arm shoulder neck jaw angina typically precipitated exertion emotional stress exacerbated full stomach cold temperature pain may accompanied breathlessness sweating nausea case case pulse rate blood pressure increase chest pain lasting second normally angina precordial catch syndrome
36,Aortic stenosis,decreased ability exercise loss consciousness shortness breath heart related chest pain leg swelling
37,Ankylosing spondylitis,back pain joint stiffness
38,Anorexia nervosa,fear gaining weight strong desire thin food restriction body image disturbance
39,Anthrax,skin form small blister surrounding swelling inhalational form fever chest pain shortness breath intestinal form nausea vomiting diarrhea abdominal pain injection form fever abscess
40,Antiphospholipid syndrome,antiphospholipid syndrome known causing arterial venous blood clot organ system pregnancy related complication blood clot pregnancy complication common diagnostic symptom associated aps organ body part may affected like platelet level heart kidney brain skin also people aps may symptom associated autoimmune disease like lupus erythematosus caused aps aps occur time autoimmune disease
41,Anxiety disorder,worrying fast heart rate shakiness
42,Post-traumatic stress disorder,disturbing thought feeling dream related event mental physical distress traumarelated cue effort avoid traumarelated situation increased fightorflight response
44,Aplastic anemia,pale skin fatigue fast heart rate rash dizziness headache frequent prolonged infection nosebleed bleeding gum prolonged bleeding cut unexplained easy bruising hematoma
45,Arrhythmia,palpitation dizziness lightheadedness passing shortness breath chest pain decreased level consciousness
46,Asperger syndrome,problem social interaction nonverbal communication restricted interest repetitive behavior
47,Aspergillosis,fungus ball lung may cause symptom may discovered chest xray may cause repeated coughing blood chest pain occasionally severe even fatal bleeding rapidly invasive aspergillus infection lung often cause cough fever chest pain difficulty breathing
48,Asthma,recurring episode wheezing coughing chest tightness shortness breath
49,Asthma,recurring episode wheezing coughing chest tightness shortness breath
50,Acute severe asthma,anxiety panic laboring breath tightened neck chest muscle difficulty performing normal daily activity
51,Atopic dermatitis,itchy red swollen cracked skin
52,Atrial fibrillation,none heart palpitation fainting shortness breath chest pain
54,Geographic tongue,burning sensation rare
55,Atrophic vaginitis,pain sex vaginal itchiness dryness urge urinate
57,Autism spectrum,difficulty social interaction verbal nonverbal communication presence repetitive behavior restricted interest
58,Autoimmune hepatitis,often asymptomatic fatigue right upper abdominal pain anorexia nausea jaundice joint pain rash
59,Vitamin B12 deficiency,decreased ability think feeling tired depression irritability abnormal sensation change reflex
60,Low back pain,common presentation acute low back pain pain develops movement involve lifting twisting forwardbending symptom may start soon movement upon waking following morning description symptom may range tenderness particular point diffuse pain may may worsen certain movement raising leg position sitting standing pain radiating leg known sciatica may present first experience acute low back pain typically age 20 40 often person first reason see medical professional adult recurrent episode occur half people repeated episode generally painful first
61,Bloodstream infections,bacteremia typically transient quickly removed blood immune system
62,Infective endocarditis,fever small area bleeding skin heart murmur feeling tired low red blood cell
63,Conjunctivitis,reddish eye scratchiness
64,Boil,painful small rough skin growth
65,Bacterial vaginosis,vaginal discharge often smell like fish burning urination
66,Barrett's esophagus,nausea
67,Basal-cell carcinoma,painless raised area skin may shiny small blood vessel running ulceration
68,Behçet's disease,mouth sore genital sore inflammation eye arthritis chronic fatigue
70,Benign prostatic hyperplasia,frequent urination trouble starting urinate weak stream inability urinate loss bladder control
71,Benzodiazepine withdrawal syndrome,withdrawal symptom occur dose reduction may include insomnia anxiety distress weight loss dizziness night sweat shake muscle twitch aphasia panic attack depression derealization paranoia indigestion diarrhea photophobia withdrawal progress patient often find physical mental health improves improved mood improved cognition
72,Primary biliary cholangitis,cholestasis pruritus fatigue
76,Urinary tract infection,pain urination frequent urination feeling need urinate despite empty bladder
78,Blepharitis,crusty eyelid
80,Osteomyelitis,pain specific bone overlying redness fever weakness
82,Irritable bowel syndrome,diarrhea constipation abdominal pain
83,Pain,unpleasant sensory emotional sensation
85,Paget's disease of the breast,paget disease breast affect nipple areola nipple typically affected first skin change spread areola common symptom wax wane symptom typically affect one breast may include
86,Metastasis,initially nearby lymph node struck early lung liver brain bone common metastasis location solid tumor
87,Cancer,lump abnormal bleeding prolonged cough unexplained weight loss change bowel movement
88,Breast cancer,lump breast change breast shape dimpling skin fluid nipple newly inverted nipple red scaly patch skin breast
89,Bronchitis,coughing mucus wheezing shortness breath chest discomfort
90,Exercise-induced bronchoconstriction,shortness breath vigorous exercise
91,Bulimia nervosa,eating large amount food short amount time followed vomiting use laxative often normal weight
92,Bullous pemphigoid,clinically earliest lesion may appear hive like red raised rash could also appear dermatitic targetoid lichenoid nodular even without rash essential pruritus tense bulla eventually erupt commonly inner thigh upper arm trunk extremity frequently involved part skin surface involved oral lesion present minority case disease may acute last month year period exacerbation remission
93,Burning mouth syndrome,definition bm sign sometimes affected person attribute symptom sore mouth fact normal anatomic structure eg lingual papilla varix symptom bm variable typical clinical picture given considered according socrates pain assessment method see table clinical sign visible another explanation burning sensation may present erythema redness edema swelling papilla tip tongue may sign tongue habitually pressed teeth number size filiform papilla may reduced tongue red smooth likely local systemic cause eg erythematous candidiasis anemia
94,Burn,first degree red without blister second degree blister pain third degree area stiff painful fourth degree bone tendon loss
95,Bursitis,bursitis commonly affect superficial bursa include subacromial prepatellar retrocalcaneal pe anserinus bursa shoulder knee heel shin etc see symptom vary localized warmth erythema redness joint pain stiffness stinging pain surround joint around inflamed bursa condition pain usually worse activity bursa surrounding joint becomes stiff next morning
96,Human betaherpesvirus 5,human betaherpesvirus 5 infection classic triad symptom fever peaking late afternoon early evening pharyngitis usually exudative symmetrical adenopathy
97,Chronic obstructive pulmonary disease,shortness breath chronic cough
98,Acute exacerbation of chronic obstructive pulmonary disease,acute exacerbation copd associated increased frequency severity coughing often accompanied worsened chest congestion discomfort shortness breath wheezing present many case exacerbation may accompanied increased amount cough sputum production change appearance sputum abrupt worsening copd symptom may cause rupture airway lung turn may cause spontaneous pneumothorax
99,Chronic obstructive pulmonary disease,shortness breath chronic cough
100,Cachexia,sudden weight loss altered eating signal
102,Cataplexy,cataplexy manifest muscular weakness may range barely perceptible slackening facial muscle complete muscle paralysis postural collapse attack brief lasting second couple minute typically involve dropping jaw neck weakness andor buckling knee even fullblown collapse people usually able avoid injury learn notice feeling cataplectic attack approaching fall usually slow progressive speech may slurred vision may impaired double vision inability focus hearing awareness remain normal
103,Spastic cerebral palsy,people spastic type cp typically muscle tight stiff due high muscle tone symptom spastic cerebral palsy vary disability affect individual differently however typically appear infancy early childhood child diagnosed first two year life main indicator spastic cerebral palsy delay reaching motor milestone following common early sign though presence listed symptom definitively mean child spastic cp
104,Spasmodic torticollis,initial symptom spasmodic torticollis usually mild feel invisible tremor head month onset head may turn pull tilt jerky movement sustain prolonged position involuntarily time involuntary spasm neck muscle increase frequency strength reach plateau symptom also worsen patient walking period increased stress symptom include muscle hypertrophy neck pain dysarthria tremor study shown 75 patient report neck pain 33 40 experience tremor head
105,Chlamydia,none vaginal discharge discharge penis burning urination
106,Myalgic encephalomyelitis/chronic fatigue syndrome,worsening symptom activity longterm fatigue sleep problem others
108,Chronic inflammatory demyelinating polyneuropathy,traditional manifestation chronic inflammatory demyelinating polyneuropathy characterized symmetric progressive limb weakness sensory loss typically start leg patient report trouble getting chair walking climbing stair falling problem gripping object tying shoe lace using utensil brought upper limb involvement proximal limb weakness fundamental clinical characteristic set apart chronic inflammatory demyelinating polyneuropathy vast majority distal polyneuropathies far common proprioception impairment distal paresthesia loss feeling poor balance brought sensory involvement small percentage case involve neuropathic pain
109,Chronic lymphocytic leukemia,early none later nonpainful lymph node swelling feeling tired fever weight loss
110,Chronic myelogenous leukemia,way cml present depends stage disease diagnosis known skip stage case
111,Myofascial pain syndrome,primary symptom include
112,Chronic pain,pain last longer expected period recovery
113,Chronic pancreatitis,nausea vomiting
114,Hereditary spastic paraplegia,symptom depend type hsp inherited main feature disease progressive spasticity lower limb due pyramidal tract dysfunction also result brisk reflex extensor plantar reflex muscle weakness variable bladder disturbance furthermore among core symptom hsp also included abnormal gait difficulty walking decreased vibratory sense ankle paresthesia individual hsp experience extreme fatigue associated central nervous system neuromuscular disorder disabling initial symptom typically difficulty balance stubbing toe stumbling symptom hsp may begin age infancy older 60 year symptom begin teenage year later spastic gait disturbance usually progress many year cane walker wheelchair may eventually required although people never require assistance device disability described progressing rapidly adult onset form
115,Anaerobic infection,anaerobe found infection throughout human body frequency host patient recovery depends employment proper method collection specimen transportation microbiology laboratory cultivation recovery organism depends site infection related adjacent mucous membrane microbial flora
116,Cluster headache,recurrent severe headache one side head eye watering stuffy nose
117,Coccidioidomycosis,estimated 60 people infected fungi responsible coccidioidomycosis minimal symptom 40 range possible clinical symptom develop symptom primary infection often respiratory symptom resembling bronchitis pneumonia resolve matter week endemic region coccidioidomycosis responsible 20 case communityacquired pneumonia notable coccidioidomycosis sign symptom include profound feeling tiredness loss smell taste fever cough headache rash muscle pain joint pain fatigue persist many month initial infection classic triad coccidioidomycosis known desert rheumatism includes combination fever joint pain erythema nodosum
118,Cold sore,burning pain followed small blister sore
119,Common cold,cough sore throat runny nose fever
122,Genital wart,small bump skin genital area varying size shape typically protrude burning itch
123,Conjunctivitis,reddish eye scratchiness
124,Allergic conjunctivitis,conjunctiva thin membrane cover eye allergen irritates conjunctiva common symptom occur eye include ocular itching eyelid swelling tearing photophobia watery discharge foreign body sensation pain
125,Conjunctivitis,reddish eye scratchiness
126,Constipation,infrequent hard pas bowel movement abdominal pain bloating
127,Constipation,infrequent hard pas bowel movement abdominal pain bloating
128,Constipation,infrequent hard pas bowel movement abdominal pain bloating
129,Constipation,infrequent hard pas bowel movement abdominal pain bloating
130,Astigmatism,distorted blurred vision distance eyestrain headache
131,Costochondritis,chest pain
132,Whooping cough,runny nose fever cough
133,Rhinovirus,rhinovirus primary cause common cold symptom include sore throat runny nose nasal congestion sneezing cough sometimes accompanied muscle ache fatigue malaise headache muscle weakness loss appetite fever extreme exhaustion le common rhinovirus infection compared influenza
134,Crohn's disease,abdominal pain diarrhea may bloody fever weight loss fatigue mouth sore reduced appetite
135,Crohn's disease,abdominal pain diarrhea may bloody fever weight loss fatigue mouth sore reduced appetite
136,Inflammatory bowel disease,spite crohn uc different disease may present following symptom abdominal pain diarrhea rectal bleeding severe internal crampsmuscle spasm region pelvis weight loss anemia prevalent extraintestinal complication inflammatory bowel disease associated complaint disease include arthritis pyoderma gangrenosum primary sclerosing cholangitis nonthyroidal illness syndrome ntis association deep vein thrombosis dvt bronchiolitis obliterans organizing pneumonia boop also reported diagnosis generally assessment inflammatory marker stool followed colonoscopy biopsy pathological lesion
137,Candidiasis,white patch vaginal discharge itching
138,Cutaneous T-cell lymphoma,presentation depends mycosis fungoides sézary syndrome common though type among symptom aforementioned type enlarged lymph node enlarged liver spleen nonspecific dermatitis
139,Cyclic vomiting syndrome,affected individual may vomit retch 6–12 time hour episode may last hour three week case month median episode duration 41 hour stomach acid bile vomiting severe blood may vomited condition ingest water reduce irritation bile acid esophagus emesis episode affected individual usually normal healthy otherwise weak state fatigue experience muscle pain approximately half case attack episode occur timerelated manner attack stereotypical given individual timing frequency severity attack similar affected people experience episode progressively get worse left untreated occurring frequently reduced symptom free phase
140,Uveitis,headache red eye blurred vision photophobia burning redness eye
142,Cystic fibrosis,difficulty breathing coughing mucus poor growth fatty stool
143,Dandruff,itchy flaking skin scalp
144,Anaerobic infection,anaerobe found infection throughout human body frequency host patient recovery depends employment proper method collection specimen transportation microbiology laboratory cultivation recovery organism depends site infection related adjacent mucous membrane microbial flora
145,Deep vein thrombosis,pain swelling redness enlarged vein affected limb
146,Deep vein thrombosis,pain swelling redness enlarged vein affected limb
147,Deep vein thrombosis,pain swelling redness enlarged vein affected limb
148,Deep vein thrombosis,pain swelling redness enlarged vein affected limb
149,Deep vein thrombosis,pain swelling redness enlarged vein affected limb
150,Dental abscess,pain continuous may described extreme growing sharp shooting throbbing putting pressure warmth tooth may induce extreme pain area may sensitive touch possibly swollen well swelling may present either base tooth gum andor cheek sometimes reduced applying ice pack
151,Depression (mood),low mood aversion activity loss interest loss feeling pleasure
152,Dercum's disease,painful fatty tumor extremity
153,Dermatitis,itchiness red skin rash
154,Janeway lesion,painless red flat papule palm sol
155,Psoriasis,red purple darker skin itchy scaly patch skin
156,Dermatomyositis,rash muscle weakness weight loss fever
157,Dermatophytosis,red itchy scaly circular skin rash
158,Diabetes insipidus,large amount dilute urine increased thirst
159,Type 1 diabetes,frequent urination increased thirst increased hunger weight loss blurred vision fatigue weakness bedwetting child previously didnt wet bed night
160,Type 2 diabetes,increased thirst frequent urination unexplained weight loss increased hunger
161,Diabetic nephropathy,albuminuria peripheral edema high blood pressure tiredness
162,Diabetic retinopathy,often asymptomatic cause spot eye vision loss
163,Diabetic neuropathy,diabetic neuropathy affect peripheral nerve including sensory neuron motor neuron autonomic nervous system therefore diabetic neuropathy potential affect essentially organ system cause range symptom several distinct syndrome based organ system affected
166,Diarrhea,loose frequent bowel movement dehydration
167,Gastroenteritis,diarrhea vomiting abdominal pain fever
168,Diarrhea,loose frequent bowel movement dehydration
169,Anismus,symptom include
170,Chromium deficiency,claimed symptom chromium deficiency caused longterm total parenteral nutrition severely impaired glucose tolerance weight loss peripheral neuropathy confusion
172,Diverticulitis,abdominal pain fever nausea diarrhea constipation blood stool
173,Dry eye syndrome,dry eye irritation redness discharge blurred vision
174,Xeroderma,low skin moisture itching scaling skin cracking
175,Dumping syndrome,symptom early late dumping syndrome different vary person person early dumping syndrome symptom may include
177,Dysautonomia,anhidrosis hyperhidrosis blurry vision tunnel vision orthostatic hypotension constipation diarrhea dysphagia bowel incontinence urinary retention urinary incontinence dizziness brain fog exercise intolerance tachycardia vertigo weakness pruritus
178,Dyspareunia,experience pelvic pain upon attempted vaginal intercourse describe pain many way reflects many different overlapping cause dyspareunia location nature time course pain help understand potential cause treatment
179,Dystonia,symptom vary according kind dystonia involved case dystonia tends lead abnormal posturing particular movement many individual condition continuous pain cramping relentless muscle spasm due involuntary muscle movement motor symptom possible including lip smacking
180,Hemorrhagic cystitis,hemorrhaging hematuria dysuria
181,Ear pain,ear pain present one ear may may accompanied symptom fever sensation world spinning ear itchiness sense fullness ear pain may may worsen chewing pain may also continuous intermittent
182,Dermatitis,itchiness red skin rash
183,Edema,skin feel tight area may feel heavy
184,Ehrlichiosis,fever chill severe headache muscle ache nausea vomiting diarrhea loss appetite confusion splotchy pinpoint rash severe symptom include brain nervous system damage respiratory failure uncontrollable bleeding organ failure death
186,Gestational diabetes,typically symptom
187,Endometrial cancer,vaginal bleeding pain urination sexual intercourse pelvic pain
188,Endometriosis,pelvic pain infertility
190,Eosinophilic esophagitis,eoe often present difficulty swallowing food impaction stomach pain regurgitation vomiting decreased appetite although typical onset eoe childhood disease found age group symptom vary depending age presentation addition young child eoe may present feeding difficulty poor weight gain common male affect adult child
191,Epididymitis,pain back testicle swelling testicle burning urination frequent urination
192,Epilepsy,period loss consciousness abnormal shaking staring change vision mood change andor cognitive disturbance
193,Erectile dysfunction,inability gain maintain erection
194,Esophagitis,symptom esophagitis include
195,Esophageal varices,vomiting blood passing black stool
196,Plastic bronchitis,clinical presentation plastic bronchitis beyond expectoration cast includes productive cough dyspnea fever wheezing focal wheezing characteristic specific physical examination finding cast completely obstruct airway breath sound decreased dullness present percussion partial obstruction “ fan sound ” “ flag flapping ” sound heard auscultation bronchial cast sometimes fill airway almost entire lung present acute lifethreatening emergency
197,Bloating,blood stool weight loss nausea vomiting diarrhea stomach pain
198,Episcleritis,photophobia hotpricklygritty sensation eye eye redness without pain watery eye
199,Conjunctivitis,reddish eye scratchiness
200,Monilethrix,indicator monilethrix small bump skin mainly scalp neck arm case firm dark papule covered dark scale crust appears skin especially scalp affected individual would beaded hair strand possible area hair loss eyebrow eyelash limb pubic region hair strand usually dull dry brittle strand prone mild severe breakage causing onset alopecia especially pregnancy fingernail toenail tend appear abnormal onset disease varies person person frequency monilethrix currently unknown
201,Gastroesophageal reflux disease,taste acid heartburn bad breath chest pain breathing problem
202,Gallbladder disease,gallbladder disease present chiefly abdominal pain located right upper abdomen pain described biliary colic pain typically occurs suddenly radiates right shoulder back depending several factor including specific disease either constant episodic last minute hour pain described biliary colic pain common symptom gallbladder disease biliary colic nausea vomiting condition cholecystitis choledocholithiasis fever may present
204,Colitis,sign symptom colitis quite variable dependent cause given colitis factor modify course severity
205,Gastritis,upper abdominal pain nausea vomiting bloating loss appetite heartburn
206,Gastroenteritis,diarrhea vomiting abdominal pain fever
207,Paracetamol poisoning,early non specific feeling tired abdominal pain nausea later yellowish skin blood clotting problem confusion
208,Gastrointestinal bleeding,vomiting red blood vomiting black blood bloody stool black stool feeling tired
210,Gastroparesis,nausea vomiting abdominal pain feeling full eating bite
211,Gender dysphoria,distress related one assigned gender sex andor sex characteristic
213,Giant-cell tumor of bone,patient usually present pain limited range motion caused tumor proximity joint space swelling may occur well tumor growing long time patient may asymptomatic develop pathologic fracture site tumor usually originate epiphysis long bone rare case may arise anterior arc rib symptom may include muscular ache pain arm leg abdominal pain patient may also experience nerve pain feel like electric shock due weight bearing
214,Giardiasis,diarrhea abdominal pain weight loss nausea
215,Gingivitis,symptom gingivitis somewhat nonspecific manifest gum tissue classic sign inflammation
216,Glaucoma,intense eye pain nausea vomiting red eye headache tenderness around eye seeing ring around light blurred vision
217,Glaucoma,intense eye pain nausea vomiting red eye headache tenderness around eye seeing ring around light blurred vision
218,Breast cancer,lump breast change breast shape dimpling skin fluid nipple newly inverted nipple red scaly patch skin breast
219,Glioblastoma,initially nonspecific headache personality change nausea symptom similar stroke
220,Urinary tract infection,pain urination frequent urination feeling need urinate despite empty bladder
221,Gout,joint pain swelling redness
222,Gout,joint pain swelling redness
223,Gout,joint pain swelling redness
224,HIV/AIDS,early flulike illness later large lymph node fever weight loss
225,Hashimoto's thyroiditis,painless goiter weight gain feeling tired constipation depression dry skin hair loss
226,Head injury,injury brain skull
227,Head lice infestation,itching result trouble sleeping
228,Cluster headache,recurrent severe headache one side head eye watering stuffy nose
229,Myocardial infarction,chest pain shortness breath nauseavomiting dizziness lightheadedness cold sweat feeling tired arm neck back jaw stomach pain decreased level total loss consciousness
230,Heart failure,shortness breath exhaustion swollen leg
232,Haemophilia,easy prolonged bleeding
233,Haemophilia B,easy bruising
234,Hemorrhoid,internal painless bright red rectal bleeding external pain swelling around anus
235,Hepatic encephalopathy,altered level consciousness mood change personality change movement problem slurred speech sleep problem anxiety irritability muscle twitch myoclonus difficulty concentrating short attention span flapping hand motion asterixis reduced alertness cognitive impairment confused thinking judgment
236,Hepatitis B,none yellowish skin tiredness dark urine abdominal pain
237,Hepatitis C,typically none
238,Hepatocellular carcinoma,case hcc occur people already sign symptom chronic liver disease may present worsening symptom without symptom time cancer detection hcc may present nonspecific symptom abdominal pain nausea vomiting feeling tired symptom closely associated liver disease include yellow skin also called jaundice abdominal swelling due fluid abdominal cavity easy bruising blood clotting abnormality loss appetite unintentional weight loss abdominal pain nausea vomiting feeling tired
239,Altitude sickness,headache vomiting feeling tired trouble sleeping dizziness
240,Hereditary angioedema,recurrent attack severe swelling
241,Herpes,blister break open form small ulcer fever swollen lymph node
242,Herpes simplex keratitis,primary infection commonly manifest blepharoconjunctivitis ie infection lid conjunctiva heals without scarring lid vesicle conjunctivitis seen primary infection corneal involvement rarely seen primary infection
243,Candidiasis,white patch vaginal discharge itching
244,Herpes,blister break open form small ulcer fever swollen lymph node
245,Herpes esophagitis,people herpes esophagitis experience pain eating trouble swallowing symptom include food impaction hiccup weight loss fever rare occasion upper gastrointestinal bleeding noted image tracheoesophageal fistula frequently one see herpetiform lesion mouth lip
247,Herpes esophagitis,people herpes esophagitis experience pain eating trouble swallowing symptom include food impaction hiccup weight loss fever rare occasion upper gastrointestinal bleeding noted image tracheoesophageal fistula frequently one see herpetiform lesion mouth lip
248,Hiccup,hiccup consists single series breathing diaphragm spasm variable spacing duration brief le one half second unexpected shoulder abdomen throat full body tremor
249,Hidradenitis suppurativa,multiple inflamed swollen skin lesion
250,Hypertension,none
251,Hypercholesterolemia,although hypercholesterolemia asymptomatic longstanding elevation serum cholesterol lead atherosclerosis buildup fatty plaque artery socalled hardening artery period decade elevated serum cholesterol contributes formation atheromatous plaque artery lead progressive narrowing involved artery alternatively smaller plaque may rupture cause clot form obstruct blood flow sudden blockage coronary artery may result heart attack blockage artery supplying brain cause stroke development stenosis occlusion gradual blood supply tissue organ slowly diminishes organ function becomes impaired point tissue ischemia restriction blood supply may manifest specific symptom example temporary ischemia brain commonly referred transient ischemic attack may manifest temporary loss vision dizziness impairment balance difficulty speaking weakness numbness tingling usually one side body insufficient blood supply heart may cause chest pain ischemia eye may manifest transient visual loss one eye insufficient blood supply leg may manifest calf pain walking intestine may present abdominal pain eating meal
252,Familial hypercholesterolemia,high cholesterol level normally cause symptom yellow deposit cholesterolrich fat may seen various place body around eyelid known xanthelasma palpebrarum outer margin iris known arcus senilis cornea tendon hand elbow knee foot particularly achilles tendon known tendon xanthoma
253,Familial hypercholesterolemia,high cholesterol level normally cause symptom yellow deposit cholesterolrich fat may seen various place body around eyelid known xanthelasma palpebrarum outer margin iris known arcus senilis cornea tendon hand elbow knee foot particularly achilles tendon known tendon xanthoma
254,Hypertrichosis,primary characteristic form hypertrichosis excessive hair hair hypertrichosis usually longer expected may consist hair type lanugo vellus terminal patterned form hypertrichosis cause hair growth pattern generalized form hypertrichosis result hair growth entire body circumscribed localized form lead hair growth restricted certain area
255,Histoplasmosis,symptom histoplasmosis infection occur start within 3 17 day exposure typical time 12–14 day affected individual clinically silent manifestation show apparent ill effect acute phase histoplasmosis characterized nonspecific respiratory symptom often cough flulike chest xray finding normal 40–70 case chronic histoplasmosis case resemble tuberculosis disseminated histoplasmosis affect multiple organ system fatal unless treated
256,Hot flash,hot flash common symptom menopause perimenopause typically experienced feeling intense heat sweating rapid heartbeat may typically last two thirty minute occurrence ending rapidly began sensation heat usually begin face chest although may appear elsewhere back neck spread throughout whole body people feel going faint addition internal sensation surface skin especially face becomes hot touch origin alternative term hot flush since sensation heat often accompanied visible reddening face
257,Human papillomavirus infection,none wart
258,Human papillomavirus infection,none wart
259,Hypercalcaemia,abdominal pain bone pain confusion depression weakness
260,Hyperekplexia,increased startle response sudden auditory visual tactile stimulation
261,Gustatory hyperhidrosis,excessive sweating eating certain food individual particular nerve damage
262,Hyperkalemia,palpitation muscle pain muscle weakness numbness
263,Familial dysbetalipoproteinemia,sign familial dysbetaproteinemia include xanthoma striatum palmare orange yellow discoloration palm tuberoeruptive xanthoma elbow knee disease lead premature atherosclerosis therefore possible early onset coronary artery disease peripheral vascular disease leading heart attack ie myocardial infarction chest pain exercise ie angina pectoris stroke young adult middle aged patient
264,Hypercholesterolemia,although hypercholesterolemia asymptomatic longstanding elevation serum cholesterol lead atherosclerosis buildup fatty plaque artery socalled hardening artery period decade elevated serum cholesterol contributes formation atheromatous plaque artery lead progressive narrowing involved artery alternatively smaller plaque may rupture cause clot form obstruct blood flow sudden blockage coronary artery may result heart attack blockage artery supplying brain cause stroke development stenosis occlusion gradual blood supply tissue organ slowly diminishes organ function becomes impaired point tissue ischemia restriction blood supply may manifest specific symptom example temporary ischemia brain commonly referred transient ischemic attack may manifest temporary loss vision dizziness impairment balance difficulty speaking weakness numbness tingling usually one side body insufficient blood supply heart may cause chest pain ischemia eye may manifest transient visual loss one eye insufficient blood supply leg may manifest calf pain walking intestine may present abdominal pain eating meal
265,Chronic kidney disease,early none later leg swelling feeling tired vomiting loss appetite confusion
266,Hyperprolactinaemia,woman high blood level prolactin typically associated hypoestrogenism anovulatory infertility change menstruation menstruation disturbance experienced woman commonly manifest amenorrhea oligomenorrhea latter case irregular menstrual flow may result abnormally heavy prolonged bleeding menorrhagia woman pregnant nursing may also unexpectedly begin producing breast milk galactorrhea condition always associated high prolactin level instance many premenopausal woman experiencing hyperprolactinemia experience galactorrhea woman experience galactorrhea diagnosed hyperprolactinemia thus galactorrhea may observed individual normal prolactin level necessarily indicate hyperprolactinemia phenomenon likely due galactorrhea requiring adequate level progesterone estrogen prepare breast tissue additionally woman may also experience loss libido breast pain particularly prolactin level rise initially hormone promotes tissue change breast
