,Disease,Prescribed_for,DrugName_list
14,Psychosis,Agitated State,"['Aripiprazole', 'Abilify']"
15,Psychomotor agitation,Agitation,"['Olanzapine', 'Loxapine', 'Citalopram']"
16,Alcoholism,Alcohol Dependence,"['Campral', 'Acamprosate', 'Disulfiram', 'Antabuse', 'Naltrexone', 'Vivitrol']"
17,Alcohol withdrawal syndrome,Alcohol Withdrawal,"['Chlordiazepoxide', 'Baclofen', 'Tranxene', 'Gabapentin', 'Librium', 'Valium', 'Diazepam', 'Oxazepam', 'Serax']"
18,Allergy,Allergic Reactions,"['Benadryl', 'Cyproheptadine', 'Triamcinolone', 'Chlorpheniramine', 'Aristocort', 'Q-Dryl', 'Dexchlorpheniramine', 'Diphenhydramine', 'Prednisone', 'Promethazine', 'Benadryl Allergy', 'Phenergan', 'Chlor-Trimeton']"
19,Allergic rhinitis,Allergic Rhinitis,"['Nasonex', 'Acetaminophen / dexbrompheniramine / pseudoephedrine', 'Azelastine / fluticasone', 'Singulair', 'Desloratadine', 'Cetirizine', 'Loratadine / pseudoephedrine', 'Mometasone', 'Kenalog-40', 'Promethazine', 'Astelin', 'Patanase', 'Levocetirizine', 'Dymista', 'Azelastine', 'Zyrtec', 'Flonase', 'Nasacort Allergy 24HR', 'Fexofenadine / pseudoephedrine', 'Loratadine', 'Fexofenadine', 'Allegra', 'Flunisolide', 'Nasacort', 'Chlorpheniramine / phenylephrine', 'Actifed', 'Beclomethasone', 'Xyzal', 'Dexbrompheniramine / pseudoephedrine', 'Montelukast', 'Cetirizine / pseudoephedrine', 'Astepro', 'Triamcinolone', 'Chlorpheniramine / pseudoephedrine', 'QNASL', 'Acrivastine / pseudoephedrine', 'Rynatan', 'Chlorpheniramine', 'Ciclesonide', 'Olopatadine', 'Zyrtec-D', 'Deconamine', 'Brompheniramine', 'Diphenhydramine', 'Chlor-Trimeton', 'Alahist LQ', 'Fluticasone', 'Carbinoxamine', 'Pseudoephedrine / triprolidine', ""Children's Claritin Allergy"", 'Allegra-D 24 Hour', 'Claritin', 'Budesonide', 'Claritin-D', 'Cyproheptadine', 'Omnaris', 'Allegra-D 12 Hour', 'Drixoral Cold and Allergy', 'Methylprednisolone', 'Clarinex']"
20,Hives,Allergic Urticaria,['Hydroxyzine']
21,Allergy,Allergies,"['Xyzal', 'Levocetirizine', 'Hydroxyzine', 'Atarax']"
22,Hair loss,Alopecia,"['Minoxidil', 'Spironolactone', 'Rogaine', ""Rogaine Women's"", 'Triamcinolone', 'Kenalog-10', ""Rogaine Men's Extra Strength""]"
23,Alpha-1 antitrypsin deficiency,Alpha-1 Proteinase Inhibitor Deficiency,"['Alpha 1-proteinase inhibitor', 'Zemaira']"
24,Alzheimer's disease,Alzheimer's Disease,"['Aricept', 'Galantamine', 'Exelon', 'Rivastigmine', 'Donepezil', 'Memantine']"
25,Amoebiasis,Amebiasis,['Tinidazole']
26,Hypoestrogenism,Amenorrhea,"['Medroxyprogesterone', 'Provera', 'Depo-Provera', 'Norethindrone', 'Prometrium']"
27,Anal fistula,Anal Fissure and Fistula,"['Nitroglycerin', 'Rectiv']"
28,Candidiasis,Anal Itching,"['Clobetasol', 'Zinc oxide', 'Hydrocortisone', 'Sarna Sensitive']"
29,Pattern hair loss,Androgenetic Alopecia,"['Finasteride', 'Propecia']"
30,Anemia,Anemia,"['Epoetin alfa', 'Multivitamin with iron', 'Maxaron Forte', 'Procrit']"
31,Chronic kidney disease,Anemia Associated with Chronic Renal Failure,"['Darbepoetin alfa', 'Procrit', 'Aranesp', 'Epogen', 'Sodium ferric gluconate complex', 'Feosol Original', 'Ferrous sulfate']"
32,Aplastic anemia,"Anemia, Chemotherapy Induced",['Aranesp']
33,Sickle cell disease,"Anemia, Sickle Cell","['Hydrea', 'Hydroxyurea']"
34,,Anesthesia,"['Propofol', 'Lidocaine', 'Diprivan', 'Rocuronium', 'Ketamine', 'Oraqix', 'Butorphanol', 'Lidocaine / prilocaine']"
35,Angina,Angina,"['Ranolazine', 'Ranexa', 'Lopressor', 'Metoprolol', 'Nitrolingual Pumpspray', 'Imdur', 'Isosorbide mononitrate']"
36,Aortic stenosis,Angina Pectoris Prophylaxis,"['Isosorbide mononitrate', 'Imdur']"
37,Ankylosing spondylitis,Ankylosing Spondylitis,"['Etanercept', 'Indocin SR', 'Diclofenac', 'Indomethacin', 'Adalimumab', 'Infliximab', 'Cosentyx', 'Simponi', 'Humira', 'Enbrel', 'Secukinumab', 'Golimumab', 'Vimovo', 'Naprosyn', 'Naproxen', 'Certolizumab']"
38,Anorexia nervosa,Anorexia,"['Cyproheptadine', 'Dronabinol', 'Marinol']"
39,Anthrax,Anthrax,['Doxycycline']
40,Antiphospholipid syndrome,Antiphospholipid Syndrome,['Warfarin']
41,Anxiety disorder,Anxiety,"['Clonazepam', 'Gabapentin', 'Paxil', 'Klonopin', 'Niravam', 'Xanax', 'Escitalopram', 'Alprazolam', 'Ativan', 'Lexapro', 'Venlafaxine', 'Paroxetine', 'Trazodone', 'Diazepam', 'Hydroxyzine', 'Desvenlafaxine', 'Pristiq', 'Effexor XR', 'Buspirone', 'Atenolol', 'Kava', 'Lorazepam', 'Vistaril', 'Oxcarbazepine', 'Remeron', 'Cymbalta', 'Duloxetine', 'Vilazodone', 'Oxazepam', 'Catapres', 'Tramadol', 'Xanax XR', 'Mirtazapine', 'Risperidone', 'Clorazepate', 'BuSpar', 'Wellbutrin', 'Propranolol', 'Dilantin', 'Valium', 'Serax', 'Trifluoperazine', 'Bupropion', 'Librium', 'Lamotrigine', 'Diazepam Intensol', 'Chlordiazepoxide', 'Atarax', 'Paxil CR', 'Amitriptyline / perphenazine', 'Prochlorperazine', 'Klonopin Wafer', 'Tranxene SD', 'Phenytoin', 'Aspirin / meprobamate', 'Neurontin', 'Stelazine', 'Nadolol', 'Tranxene', 'Doxepin', 'Clonidine', 'Pexeva', 'Nefazodone', 'Meprobamate']"
42,Post-traumatic stress disorder,Anxiety and Stress,"['Celexa', 'Citalopram', 'Sertraline', 'Prozac', 'Fluoxetine', 'Effexor', 'Elavil', 'Venlafaxine', 'Zoloft', 'Fluvoxamine', 'Paroxetine', 'Paxil', 'Effexor XR', 'Amitriptyline', 'Luvox CR', 'Luvox', 'Prazosin']"
43,,Aphthous Ulce,"['Dexamethasone', 'Triamcinolone', 'Benzocaine']"
44,Aplastic anemia,Aplastic Anemia,"['Eltrombopag', 'Promacta']"
45,Arrhythmia,Arrhythmia,"['Mexiletine', 'Dofetilide', 'Tikosyn', 'Propranolol', 'Norpace', 'Verapamil', 'Disopyramide', 'Pacerone', 'Amiodarone', 'Norpace CR', 'Calan SR']"
46,Asperger syndrome,Asperger Syndrome,"['Zyprexa Zydis', 'Risperidone', 'Vyvanse', 'Lisdexamfetamine']"
47,Aspergillosis,"Aspergillosis, Aspergilloma",['Sporanox']
48,Asthma,Asthma,"['Montelukast', 'Breo Ellipta', 'Prednisone', 'Singulair', 'Fluticasone / vilanterol', 'Atrovent', 'Dulera', 'Xopenex', 'Triamcinolone', 'Aerobid', 'Mepolizumab', 'Flunisolide', 'Solu-Medrol', 'Decadron', 'Ciclesonide', 'Methylprednisolone', 'Alvesco', 'Deltasone']"
49,Asthma,"Asthma, Maintenance","['Advair HFA', 'Dulera', 'Singulair', 'Fluticasone / salmeterol', 'Xolair', 'Breo Ellipta', 'Montelukast', 'Beclomethasone', 'Advair Diskus', 'Asmanex Twisthaler', 'Zafirlukast', 'Omalizumab', 'Ventolin HFA', 'Symbicort', 'Pulmicort Respules', 'Pirbuterol', 'Proventil', 'Albuterol', 'Foradil Aerolizer', 'Flovent', 'Tiotropium', 'Budesonide', 'Fluticasone / vilanterol', 'Intal', 'Alvesco', 'Fluticasone', 'Xopenex', 'Ciclesonide', 'Arnuity Ellipta', 'Flovent HFA', 'Ventolin', 'Mometasone', 'Qvar', 'Accolate']"
50,Acute severe asthma,"Asthma, acute","['Ventolin HFA', 'Levalbuterol', 'Epinephrine', 'Proventil HFA', 'Albuterol', 'Racepinephrine', 'Medrol Dosepak', 'Primatene Mist', 'Xopenex HFA', 'Vospire ER', 'Asthmanefrin', 'Isoproterenol']"
51,Atopic dermatitis,Atopic Dermatitis,"['Tacrolimus', 'Fluocinolone', 'Cutivate', 'Crisaborole', 'Eucrisa', 'Pimecrolimus', 'Alclometasone', 'Dupilumab', 'Desonide', 'Flurandrenolide', 'Protopic', 'Betamethasone', 'Fluticasone', 'Azathioprine', 'Clobetasol', 'Cordran Tape', 'Desoximetasone', 'Dexamethasone', 'Dupixent', 'Elocon', 'Elidel', 'Clocortolone']"
52,Atrial fibrillation,Atrial Fibrillation,"['Propafenone', 'Xarelto', 'Rivaroxaban', 'Flecainide', 'Tambocor', 'Multaq', 'Metoprolol', 'Sotalol', 'Diltiazem', 'Digoxin', 'Cardizem', 'Carvedilol', 'Rythmol SR', 'Rythmol', 'Cartia XT']"
53,,Atrial Flutte,"['Flecainide', 'Diltiazem']"
54,Geographic tongue,Atrophic Urethritis,['Estradiol']
55,Atrophic vaginitis,Atrophic Vaginitis,"['Yuvafem', 'Estradiol', 'Vagifem', 'Estrace Vaginal Cream', 'Estring', 'Conjugated estrogens', 'Premarin Vaginal']"
56,,Auditory Processing Disorde,"['Dexmethylphenidate', 'Focalin XR']"
57,Autism spectrum,Autism,"['Risperidone', 'Risperdal', 'Geodon', 'Aripiprazole', 'Abilify', 'Memantine', 'Ziprasidone', 'Risperdal M-Tab']"
58,Autoimmune hepatitis,Autoimmune Hepatitis,"['Azathioprine', 'Mercaptopurine', 'Mycophenolate mofetil', 'Imuran', 'CellCept']"
59,Vitamin B12 deficiency,B12 Nutritional Deficiency,['Cyanocobalamin']
60,Low back pain,Back Pain,"['Motrin IB', 'Naprosyn', 'Norco', 'Acetaminophen / hydrocodone', 'Naproxen', 'Tramadol', 'Duloxetine', 'Excedrin Back & Body', 'Diclofenac', 'Cymbalta', 'Vicodin ES', 'Ultram ER', 'Ultram', 'Lortab', 'Aspirin', 'Voltaren', 'Indomethacin', 'Relafen', 'Nabumetone', 'Acetaminophen / pamabrom', 'Orudis', 'Ibuprofen', 'Cataflam', 'Anaprox', 'Ryzolt']"
61,Bloodstream infections,Bacteremia,"['Zyvox', 'Linezolid']"
62,Infective endocarditis,Bacterial Endocarditis Prevention,"['Moxatag', 'Amoxicillin', 'Clindamycin']"
63,Conjunctivitis,Bacterial Infection,"['Keflex', 'Metronidazole', 'Amoxicillin / clavulanate', 'Doxycycline', 'Flagyl', 'Cephalexin', 'Garlic', 'Cleocin', 'Clindamycin', 'Vancomycin', 'Sulfamethoxazole / trimethoprim', 'Rocephin', 'Levofloxacin', 'Azithromycin', 'Zyvox', 'Avelox', 'Penicillin VK', 'Augmentin', 'Cipro', 'Moxifloxacin', 'Levaquin', 'Ceftin', 'Linezolid', 'Ciprofloxacin', 'Bactrim DS', 'Ceftriaxone', 'Amoxicillin', 'Bactrim']"
64,Boil,Bacterial Skin Infection,"['Bacitracin / neomycin / polymyxin b', 'Sulfamethoxazole / trimethoprim', 'Bactrim', 'Bactrim DS', 'Neosporin']"
65,Bacterial vaginosis,Bacterial Vaginitis,"['Tinidazole', 'Metronidazole', 'Vandazole', 'Clindamycin', 'Clindamax', 'MetroGel-Vaginal', 'Tindamax', 'Flagyl ER', 'Nuvessa']"
66,Barrett's esophagus,Barrett's Esophagus,"['Omeprazole', 'Protonix', 'Dexlansoprazole', 'Prevacid', 'Esomeprazole', 'Dexilant', 'Rabeprazole', 'Nexium', 'Pantoprazole', 'Aciphex']"
67,Basal-cell carcinoma,Basal Cell Carcinoma,"['Fluorouracil', 'Carac', 'Imiquimod', 'Aldara', 'Efudex']"
68,Behçet's disease,Behcet's Disease,['Remicade']
69,,Benign Essential Trem,"['Metoprolol', 'Propranolol', 'Zonegran', 'Primidone', 'Zonisamide', 'Gabapentin', 'Inderal']"
70,Benign prostatic hyperplasia,Benign Prostatic Hyperplasia,"['Tamsulosin', 'Rapaflo', 'Tadalafil', 'Silodosin', 'Avodart', 'Jalyn', 'Alfuzosin', 'Flomax', 'Cialis', 'Doxazosin', 'Prazosin', 'Finasteride', 'Terazosin', 'Dutasteride', 'Cardura XL', 'Hytrin', 'Dutasteride / tamsulosin', 'Cardura', 'Saw palmetto', 'Uroxatral']"
71,Benzodiazepine withdrawal syndrome,Benzodiazepine Withdrawal,"['Klonopin', 'Clonazepam']"
72,Primary biliary cholangitis,Biliary Cirrhosis,"['Ursodiol', 'Urso']"
73,,Binge Eating Disorde,"['Vyvanse', 'Lisdexamfetamine']"
74,,Bipolar Disorde,"['Klonopin', 'Lurasidone', 'Lamotrigine', 'Gabapentin', 'Aripiprazole', 'Depakote', 'Quetiapine', 'Symbyax', 'Asenapine', 'Divalproex sodium', 'Olanzapine', 'Saphris', 'Latuda', 'Seroquel', 'Clonazepam', 'Ziprasidone', 'Effexor', 'Topamax', 'Seroquel XR', 'Armodafinil', 'Oxcarbazepine', 'Lamictal', 'Paliperidone', 'Lithium', 'Risperidone', 'Bupropion', 'Vraylar', 'Lithobid', 'Risperdal', 'Valproic acid', 'Keppra', 'Carbamazepine', 'Abilify', 'Zyprexa', 'Depakote ER', 'Perphenazine', 'Tegretol', 'Duloxetine', 'Geodon', 'Venlafaxine', 'Escitalopram', 'Fluoxetine / olanzapine', 'Invega', 'Topiramate', 'Nuvigil', 'Cariprazine', 'Lexapro', 'Cymbalta', 'Zoloft', 'Wellbutrin', 'Trileptal', 'Levetiracetam', 'Oxtellar XR', 'Citalopram', 'Desvenlafaxine', 'Effexor XR', 'Sertraline', 'Zyprexa Zydis', 'Neurontin', 'Tegretol XR', 'Wellbutrin SR', 'Klonopin Wafer', 'Eskalith']"
75,,Birth Control,"['Cyclafem 1 / 35', 'Copper', 'Blisovi Fe 1 / 20', 'NuvaRing', 'Ethinyl estradiol / etonogestrel', 'Etonogestrel', 'Ortho Tri-Cyclen Lo', 'Skyla', 'Ethinyl estradiol / levonorgestrel', 'Aviane', 'Implanon', 'Levonorgestrel', 'Jolessa', 'Lo Loestrin Fe', 'Ethinyl estradiol / norgestimate', 'Kariva', 'Ethinyl estradiol / norethindrone', 'Depo-Provera', 'Safyral', 'Nexplanon', 'ParaGard', 'Apri', 'Ortho Evra', 'Alesse', 'Microgestin Fe 1.5 / 30', 'Tri-Sprintec', 'Mirena', 'Junel Fe 1 / 20', 'Ethinyl estradiol / norelgestromin', 'Sprintec', 'Xulane', 'Desogestrel / ethinyl estradiol', 'Zovia', 'Ortho Cyclen', 'Kyleena', 'TriNessa', 'Mibelas 24 Fe', 'Liletta', 'Ortho Micronor', 'Yasmin', 'Medroxyprogesterone', 'Aubra', 'Lutera', 'Drospirenone / ethinyl estradiol / levomefolate calcium', 'Sronyx', 'Minastrin 24 Fe', 'Ortho Tri-Cyclen', 'Drospirenone / ethinyl estradiol', 'Ethinyl estradiol / ethynodiol', 'Dienogest / estradiol', 'Yaz', 'Loestrin 24 Fe', 'Microgestin 1 / 20', 'Microgestin Fe 1 / 20', 'Ocella', 'Portia', 'Gildess Fe 1.5 / 30', 'Mononessa', 'Beyaz', 'Norethindrone', 'Cryselle', 'Camrese', 'Junel Fe 1.5 / 30', 'Tri-Previfem', 'Orsythia', 'Gildess Fe 1 / 20', 'Chateal', 'Camila', 'Jolivette', 'Lyza', 'Generess Fe', 'Viorele', 'Sharobel', 'Reclipsen', 'Ethinyl estradiol / folic acid / levonorgestrel', 'Zarah', 'Tri-Linyah', 'Mircette', 'Seasonique', 'Levora', 'Lybrel', 'Ethinyl estradiol / norgestrel', 'Ashlyna', 'LoSeasonique', 'Taytulla', 'Low-Ogestrel-21', 'Quasense', 'Tri-Lo-Sprintec', 'Seasonale', 'Nora-Be', 'Loryna', 'Natazia', 'Lessina', 'Necon 1 / 35', 'Blisovi 24 Fe', 'Provera', 'Errin', 'Gianvi', 'Trivora', 'Microgestin 1.5 / 30', 'Ovcon 35', 'Velivet', 'Enskyce', 'Estarylla', 'Jencycla', 'Amethia', 'Balziva', 'Deblitane', 'Zovia 1 / 50', 'Tarina Fe 1 / 20', 'Lo / Ovral', 'Ortho-Novum 7 / 7 / 7', 'Nortrel 1 / 35', 'Tri-Estarylla', 'Mono-Linyah', 'Pimtrea', 'Loestrin 21 1 / 20', 'Femcon Fe', 'Zovia 1 / 35', 'Depo-Provera Contraceptive', 'Azurette', 'Emoquette', 'Junel 1 / 20', 'Amethia Lo', 'Necon 7 / 7 / 7', 'Ortho-Cept', 'Mestranol / norethindrone', 'Levlen', 'Ortho-Novum 1 / 35', 'TriNessa Lo', 'Cyclafem 7 / 7 / 7', 'CamreseLo', 'Junel Fe 24', 'Caziant', 'depo-subQ provera 104', 'Cyclessa', 'Previfem', 'Rajani', 'Nonoxynol 9', 'Falmina', 'Desogen']"
76,Urinary tract infection,Bladder Infection,"['Nitrofurantoin', 'Macrobid', 'Cephalexin', 'Ciprofloxacin', 'Cefixime', 'Cipro', 'Hiprex', 'Trimethoprim', 'Monurol', 'Keflex', 'Suprax', 'Methenamine', 'Levaquin', 'Noroxin', 'Furadantin']"
77,,Bleeding Disorde,['Zoladex']
78,Blepharitis,Blepharitis,['Neo-Poly-Dex']
79,,Body Dysmorphic Disorde,['Escitalopram']
80,Osteomyelitis,Bone infection,"['Vancomycin', 'Clindamycin', 'Nafcillin']"
81,,Borderline Personality Disorde,"['Quetiapine', 'Carbamazepine', 'Fluoxetine', 'Zyprexa Zydis', 'Clonazepam', 'Lamotrigine', 'Olanzapine', 'Oxcarbazepine', 'Asenapine', 'Lithium', 'L-methylfolate', 'Escitalopram', 'Aripiprazole', 'Risperidone', 'Risperdal', 'Latuda']"
82,Irritable bowel syndrome,Bowel Preparation,"['Suprep Bowel Prep Kit', 'Polyethylene glycol 3350 with electrolytes', 'Magnesium sulfate / potassium sulfate / sodium sulfate', 'MoviPrep', 'Citric acid / magnesium oxide / sodium picosulfate', 'GaviLyte-N', 'Bisacodyl', 'GoLYTELY', 'Bisacodyl / polyethylene glycol 3350 / potassium chloride / sodium bicarbonate / sodium chloride', 'Dulcolax', 'Prepopik', 'Polyethylene glycol 3350', 'GaviLyte-G', 'HalfLytely and Bisacodyl', 'GaviLyte-C', 'PEG-3350 with Electolytes', 'Colyte']"
83,Pain,Breakthrough Pain,"['Subsys', 'Fentora', 'Fentanyl', 'Actiq']"
84,,Breast Cance,"['Arimidex', 'Anastrozole', 'Femara', 'Letrozole', 'Tamoxifen', 'Aromasin', 'Exemestane', 'Afinitor', 'Paclitaxel', 'Everolimus']"
85,Paget's disease of the breast,"Breast Cancer, Adjuvant","['Femara', 'Herceptin', 'Letrozole', 'Tamoxifen']"
86,Metastasis,"Breast Cancer, Metastatic","['Palbociclib', 'Letrozole', 'Fulvestrant', 'Femara', 'Eribulin', 'Ibrance', 'Tykerb', 'Lapatinib', 'Taxol', 'Capecitabine', 'Paclitaxel', 'Halaven', 'Xeloda', 'Bevacizumab']"
87,Cancer,"Breast Cancer, Palliative",['Goserelin']
88,Breast cancer,"Breast Cancer, Prevention",['Tamoxifen']
89,Bronchitis,Bronchitis,"['Azithromycin', 'Moxifloxacin', 'Amoxicillin', 'Amoxicillin / clavulanate', 'Clarithromycin', 'Doxycycline', 'Levaquin', 'Ciprofloxacin', 'Bactrim', 'Azithromycin Dose Pack', 'Avelox', 'Augmentin', 'Guaifenesin', 'Cefuroxime', 'Levofloxacin', 'Erythromycin', 'Biaxin', 'Mucinex', 'Sulfamethoxazole / trimethoprim', 'Spectracef', 'Cefdinir', 'Zithromax', 'Cipro', 'Omnicef']"
90,Exercise-induced bronchoconstriction,Bronchospasm Prophylaxis,"['Singulair', 'Montelukast', 'Formoterol']"
91,Bulimia nervosa,Bulimia,"['Topamax', 'Fluoxetine', 'Venlafaxine', 'Prozac']"
92,Bullous pemphigoid,Bullous Pemphigoid,"['Prednisolone', 'Prednisone']"
93,Burning mouth syndrome,Burning Mouth Syndrome,"['Elavil', 'Clonazepam']"
94,Burn,"Burns, External","['Benzocaine', 'Silvadene', 'Silver sulfadiazine']"
95,Bursitis,Bursitis,"['Prednisone', 'Naproxen']"
96,Human betaherpesvirus 5,CMV Prophylaxis,['Valacyclovir']
97,Chronic obstructive pulmonary disease,COPD,"['Roflumilast', 'Fluticasone / vilanterol', 'Symbicort', 'Umeclidinium / vilanterol', 'Aclidinium', 'Daliresp', 'Anoro Ellipta', 'Breo Ellipta', 'Stiolto Respimat', 'Tudorza Pressair', 'Montelukast', 'Olodaterol', 'Umeclidinium', 'Olodaterol / tiotropium', 'Levalbuterol']"
98,Acute exacerbation of chronic obstructive pulmonary disease,"COPD, Acute","['Primatene Mist', 'Levalbuterol', 'Metaproterenol']"
99,Chronic obstructive pulmonary disease,"COPD, Maintenance","['Advair Diskus', 'Brovana', 'Spiriva', 'Albuterol', 'Salmeterol', 'Spiriva Respimat', 'Symbicort', 'Tiotropium', 'Albuterol / ipratropium', 'Combivent', 'Fluticasone / salmeterol', 'ProAir HFA', 'Umeclidinium / vilanterol', 'Ventolin HFA', 'Tudorza Pressair', 'Umeclidinium', 'Stiolto Respimat', 'Advair HFA', 'Roflumilast']"
100,Cachexia,Cachexia,['Megace']
101,,Cance,['Doxorubicin']
102,Cataplexy,Cataplexy,"['Sodium oxybate', 'Xyrem']"
103,Spastic cerebral palsy,Cerebral Spasticity,['Trihexyphenidyl']
104,Spasmodic torticollis,Cervical Dystonia,"['Botox', 'Lorazepam', 'OnabotulinumtoxinA', 'Baclofen', 'Myobloc', 'Xeomin']"
105,Chlamydia,Chlamydia Infection,"['Azithromycin', 'Doxycycline', 'Zithromax']"
106,Myalgic encephalomyelitis/chronic fatigue syndrome,Chronic Fatigue Syndrome,"['Nuvigil', 'Modafinil', 'Armodafinil', 'Provigil', 'Lisdexamfetamine', 'Amantadine', 'Duloxetine']"
107,,Chronic Idiopathic Constipation,"['Trulance', 'Plecanatide']"
108,Chronic inflammatory demyelinating polyneuropathy,Chronic Inflammatory Demyelinating Polyradiculoneuropathy,['Gamunex']
109,Chronic lymphocytic leukemia,Chronic Lymphocytic Leukemia,"['Ibrutinib', 'Chlorambucil', 'Imbruvica', 'Rituximab']"
110,Chronic myelogenous leukemia,Chronic Myelogenous Leukemia,"['Gleevec', 'Dasatinib', 'Tasigna', 'Imatinib', 'Nilotinib', 'Sprycel', 'Hydroxyurea', 'Bosutinib']"
111,Myofascial pain syndrome,Chronic Myofascial Pain,"['Clonazepam', 'Amitriptyline']"
112,Chronic pain,Chronic Pain,"['Tramadol', 'Morphine', 'Methadose', 'Acetaminophen / oxycodone', 'Exalgo', 'OxyContin', 'Oxycodone', 'Ultram', 'Percocet', 'Roxicodone', 'Hydromorphone', 'Duloxetine', 'Buprenorphine', 'Prialt', 'Fentanyl', 'Embeda', 'Dilaudid', 'Methadone', 'Cymbalta', 'Fentanyl Transdermal System', 'Tylox', 'Butrans', 'MS Contin', 'Duragesic', 'Endocet', 'Subutex', 'Avinza', 'Subsys', 'Ultram ER', 'Ultram ODT', 'Morphine / naltrexone', 'Kadian', 'Xtampza ER', 'Methadone Diskets', 'Belbuca', 'Dolophine', 'Roxicet']"
113,Chronic pancreatitis,Chronic Pancreatitis,"['Pancrelipase', 'Zenpep', 'Creon']"
