Prescribed_for,DrugName_list,Disease,Symptoms,Symptoms_Length,Number_of_Drugs,Preprocessed_Symptoms
Antiphospholipid Syndrome,Warfarin,Antiphospholipid syndrome,"['Antiphospholipid syndrome is known for causing arterial or venous blood clots ', 'in any organ system', 'and pregnancy -related complications. While blood clots and pregnancy complications are the most common and diagnostic symptoms associated with APS', 'other organs and body parts may be affected like platelet levels', 'heart', 'kidneys', 'brain', 'and skin. Also', 'people with APS may have symptoms associated with other autoimmune diseases like Lupus erythematosus that are not caused by APS because APS can occur at the same time as other autoimmune diseases.']",571,1,antiphospholipid syndrome known causing arterial venous blood clot organ system pregnancy related complication blood clot pregnancy complication common diagnostic symptom associated aps organ body part may affected like platelet level heart kidney brain skin also people aps may symptom associated autoimmune disease like lupus erythematosus caused aps aps occur time autoimmune disease
Anxiety,"Clonazepam,Gabapentin,Paxil,Klonopin,Niravam,Xanax,Escitalopram,Alprazolam,Ativan,Lexapro,Venlafaxine,Paroxetine,Trazodone,Diazepam,Hydroxyzine,Desvenlafaxine,Pristiq,Effexor XR,Buspirone,Atenolol,Kava,Lorazepam,Vistaril,Oxcarbazepine,Remeron,Cymbalta,Duloxetine,Vilazodone,Oxazepam,Catapres,Tramadol,Xanax XR,Mirtazapine,Risperidone,Clorazepate,BuSpar,Wellbutrin,Propranolol,Dilantin,Valium,Serax,Trifluoperazine,Bupropion,Librium,Lamotrigine,Diazepam Intensol,Chlordiazepoxide,Atarax,Paxil CR,Amitriptyline / perphenazine,Prochlorperazine,Klonopin Wafer,Tranxene SD,Phenytoin,Aspirin / meprobamate,Neurontin,Stelazine,Nadolol,Tranxene,Doxepin,Clonidine,Pexeva,Nefazodone,Meprobamate",Anxiety disorder,"Worrying, fast heart rate , shakiness",37,64,worrying fast heart rate shakiness
Anxiety and Stress,"Celexa,Citalopram,Sertraline,Prozac,Fluoxetine,Effexor,Elavil,Venlafaxine,Zoloft,Fluvoxamine,Paroxetine,Paxil,Effexor XR,Amitriptyline,Luvox CR,Luvox,Prazosin",Post-traumatic stress disorder,"Disturbing thoughts, feelings, or dreams related to the event; mental or physical distress to trauma-related cues; efforts to avoid trauma-related situations; increased fight-or-flight response",193,17,disturbing thought feeling dream related event mental physical distress traumarelated cue effort avoid traumarelated situation increased fightorflight response
Aphthous Ulce,"Dexamethasone,Triamcinolone,Benzocaine",,nan,3,3,nan
Aplastic Anemia,"Eltrombopag,Promacta",Aplastic anemia,"pale skin , fatigue , fast heart rate , rash , dizziness , headache , frequent or prolonged infections , nosebleeds , bleeding gums, prolonged bleeding from cuts, unexplained or easy bruising, hematoma",201,2,pale skin fatigue fast heart rate rash dizziness headache frequent prolonged infection nosebleed bleeding gum prolonged bleeding cut unexplained easy bruising hematoma
Arrhythmia,"Mexiletine,Dofetilide,Tikosyn,Propranolol,Norpace,Verapamil,Disopyramide,Pacerone,Amiodarone,Norpace CR,Calan SR",Arrhythmia,"Palpitations , dizziness or lightheadedness , passing out , shortness of breath , chest pain , decreased level of consciousness",127,11,palpitation dizziness lightheadedness passing shortness breath chest pain decreased level consciousness
Asperger Syndrome,"Zyprexa Zydis,Risperidone,Vyvanse,Lisdexamfetamine",Asperger syndrome,"Problems with social interaction and nonverbal communication, restricted interests, and repetitive behavior",107,4,problem social interaction nonverbal communication restricted interest repetitive behavior
"Aspergillosis, Aspergilloma",Sporanox,Aspergillosis,"['A fungus ball in the lungs may cause no symptoms and may be discovered only with a chest X-ray', 'or it may cause repeated coughing up of blood ', 'chest pain', 'and occasionally severe', 'even fatal', 'bleeding. A rapidly invasive Aspergillus infection in the lungs often causes cough', 'fever', 'chest pain', 'and difficulty breathing.']",341,1,fungus ball lung may cause symptom may discovered chest xray may cause repeated coughing blood chest pain occasionally severe even fatal bleeding rapidly invasive aspergillus infection lung often cause cough fever chest pain difficulty breathing
Asthma,"Montelukast,Breo Ellipta,Prednisone,Singulair,Fluticasone / vilanterol,Atrovent,Dulera,Xopenex,Triamcinolone,Aerobid,Mepolizumab,Flunisolide,Solu-Medrol,Decadron,Ciclesonide,Methylprednisolone,Alvesco,Deltasone",Asthma,"Recurring episodes of wheezing , coughing , chest tightness , shortness of breath",81,18,recurring episode wheezing coughing chest tightness shortness breath
"Asthma, Maintenance","Advair HFA,Dulera,Singulair,Fluticasone / salmeterol,Xolair,Breo Ellipta,Montelukast,Beclomethasone,Advair Diskus,Asmanex Twisthaler,Zafirlukast,Omalizumab,Ventolin HFA,Symbicort,Pulmicort Respules,Pirbuterol,Proventil,Albuterol,Foradil Aerolizer,Flovent,Tiotropium,Budesonide,Fluticasone / vilanterol,Intal,Alvesco,Fluticasone,Xopenex,Ciclesonide,Arnuity Ellipta,Flovent HFA,Ventolin,Mometasone,Qvar,Accolate",Asthma,"Recurring episodes of wheezing , coughing , chest tightness , shortness of breath",81,34,recurring episode wheezing coughing chest tightness shortness breath
"Asthma, acute","Ventolin HFA,Levalbuterol,Epinephrine,Proventil HFA,Albuterol,Racepinephrine,Medrol Dosepak,Primatene Mist,Xopenex HFA,Vospire ER,Asthmanefrin,Isoproterenol",Acute severe asthma,"Anxiety, panic, laboring to breath, tightened neck and chest muscles , difficulty performing normal daily activities",116,12,anxiety panic laboring breath tightened neck chest muscle difficulty performing normal daily activity
Atopic Dermatitis,"Tacrolimus,Fluocinolone,Cutivate,Crisaborole,Eucrisa,Pimecrolimus,Alclometasone,Dupilumab,Desonide,Flurandrenolide,Protopic,Betamethasone,Fluticasone,Azathioprine,Clobetasol,Cordran Tape,Desoximetasone,Dexamethasone,Dupixent,Elocon,Elidel,Clocortolone",Atopic dermatitis,"Itchy , red, swollen, cracked skin",34,22,itchy red swollen cracked skin
Atrial Fibrillation,"Propafenone,Xarelto,Rivaroxaban,Flecainide,Tambocor,Multaq,Metoprolol,Sotalol,Diltiazem,Digoxin,Cardizem,Carvedilol,Rythmol SR,Rythmol,Cartia XT",Atrial fibrillation,"None, heart palpitations , fainting , shortness of breath , chest pain",70,15,none heart palpitation fainting shortness breath chest pain
Atrial Flutte,"Flecainide,Diltiazem",,nan,3,2,nan
Atrophic Urethritis,Estradiol,Geographic tongue,Burning sensation (rare),24,1,burning sensation rare
Atrophic Vaginitis,"Yuvafem,Estradiol,Vagifem,Estrace Vaginal Cream,Estring,Conjugated estrogens,Premarin Vaginal",Atrophic vaginitis,"Pain with sex , vaginal itchiness or dryness, an urge to urinate",64,7,pain sex vaginal itchiness dryness urge urinate
Auditory Processing Disorde,"Dexmethylphenidate,Focalin XR",,nan,3,2,nan
Autism,"Risperidone,Risperdal,Geodon,Aripiprazole,Abilify,Memantine,Ziprasidone,Risperdal M-Tab",Autism spectrum,"Difficulties in social interaction , verbal and nonverbal communication , and the presence of repetitive behavior or restricted interests",137,8,difficulty social interaction verbal nonverbal communication presence repetitive behavior restricted interest
Autoimmune Hepatitis,"Azathioprine,Mercaptopurine,Mycophenolate mofetil,Imuran,CellCept",Autoimmune hepatitis,"Often asymptomatic , fatigue , right upper abdominal pain , anorexia , nausea , jaundice , joint pain , rash",108,5,often asymptomatic fatigue right upper abdominal pain anorexia nausea jaundice joint pain rash
B12 Nutritional Deficiency,Cyanocobalamin,Vitamin B12 deficiency,"Decreased ability to think, feeling tired , depression , irritability, abnormal sensations , changes in reflexes",112,1,decreased ability think feeling tired depression irritability abnormal sensation change reflex
Back Pain,"Motrin IB,Naprosyn,Norco,Acetaminophen / hydrocodone,Naproxen,Tramadol,Duloxetine,Excedrin Back & Body,Diclofenac,Cymbalta,Vicodin ES,Ultram ER,Ultram,Lortab,Aspirin,Voltaren,Indomethacin,Relafen,Nabumetone,Acetaminophen / pamabrom,Orudis,Ibuprofen,Cataflam,Anaprox,Ryzolt",Low back pain,"['In the common presentation of acute low back pain', 'pain develops after movements that involve lifting', 'twisting', 'or forward-bending. The symptoms may start soon after the movements or upon waking up the following morning. The description of the symptoms may range from tenderness at a particular point', 'to diffuse pain. It may or may not worsen with certain movements', 'such as raising a leg', 'or positions', ""such as sitting or standing. Pain radiating down the legs (known as sciatica ) may be present. The first experience of acute low back pain is typically between the ages of 20 and 40. This is often a person's first reason to see a medical professional as an adult. Recurrent episodes occur in more than half of people with the repeated episodes being generally more painful than the first.""]",812,25,common presentation acute low back pain pain develops movement involve lifting twisting forwardbending symptom may start soon movement upon waking following morning description symptom may range tenderness particular point diffuse pain may may worsen certain movement raising leg position sitting standing pain radiating leg known sciatica may present first experience acute low back pain typically age 20 40 often person first reason see medical professional adult recurrent episode occur half people repeated episode generally painful first
Bacteremia,"Zyvox,Linezolid",Bloodstream infections,['Bacteremia is typically transient and is quickly removed from the blood by the immune system .'],98,2,bacteremia typically transient quickly removed blood immune system
Bacterial Endocarditis Prevention,"Moxatag,Amoxicillin,Clindamycin",Infective endocarditis,"Fever , small areas of bleeding into the skin , heart murmur , feeling tired, low red blood cells",97,3,fever small area bleeding skin heart murmur feeling tired low red blood cell
Bacterial Infection,"Keflex,Metronidazole,Amoxicillin / clavulanate,Doxycycline,Flagyl,Cephalexin,Garlic,Cleocin,Clindamycin,Vancomycin,Sulfamethoxazole / trimethoprim,Rocephin,Levofloxacin,Azithromycin,Zyvox,Avelox,Penicillin VK,Augmentin,Cipro,Moxifloxacin,Levaquin,Ceftin,Linezolid,Ciprofloxacin,Bactrim DS,Ceftriaxone,Amoxicillin,Bactrim",Conjunctivitis,"Reddish eye , scratchiness",26,28,reddish eye scratchiness
Bacterial Skin Infection,"Bacitracin / neomycin / polymyxin b,Sulfamethoxazole / trimethoprim,Bactrim,Bactrim DS,Neosporin",Boil,Painful small rough skin growth,31,5,painful small rough skin growth
Bacterial Vaginitis,"Tinidazole,Metronidazole,Vandazole,Clindamycin,Clindamax,MetroGel-Vaginal,Tindamax,Flagyl ER,Nuvessa",Bacterial vaginosis,"Vaginal discharge that often smells like fish, burning with urination",69,9,vaginal discharge often smell like fish burning urination
Barrett's Esophagus,"Omeprazole,Protonix,Dexlansoprazole,Prevacid,Esomeprazole,Dexilant,Rabeprazole,Nexium,Pantoprazole,Aciphex",Barrett's esophagus,Nausea,6,10,nausea
Basal Cell Carcinoma,"Fluorouracil,Carac,Imiquimod,Aldara,Efudex",Basal-cell carcinoma,Painless raised area of skin that may be shiny with small blood vessel running over it or ulceration,100,5,painless raised area skin may shiny small blood vessel running ulceration
Behcet's Disease,Remicade,Behçet's disease,"Mouth sores , genital sores, inflammation of the eye, arthritis , chronic fatigue",81,1,mouth sore genital sore inflammation eye arthritis chronic fatigue
Benign Essential Trem,"Metoprolol,Propranolol,Zonegran,Primidone,Zonisamide,Gabapentin,Inderal",,nan,3,7,nan
Benign Prostatic Hyperplasia,"Tamsulosin,Rapaflo,Tadalafil,Silodosin,Avodart,Jalyn,Alfuzosin,Flomax,Cialis,Doxazosin,Prazosin,Finasteride,Terazosin,Dutasteride,Cardura XL,Hytrin,Dutasteride / tamsulosin,Cardura,Saw palmetto,Uroxatral",Benign prostatic hyperplasia,"Frequent urination, trouble starting to urinate, weak stream, inability to urinate , loss of bladder control",108,20,frequent urination trouble starting urinate weak stream inability urinate loss bladder control
